Id,Abstract,Summary,
!031,"In the burgeoning field of hydrogen energy, compositionally complex alloys promise unprecedented solid-state hydrogen storage applications. However, compositionally complex alloys are facing one main challenge: reducing alloy density and increasing hydrogen storage capacity. Here, we report TiMgLi-based compositionally complex alloys with ultralow alloy density and significant room-temperature hydrogen storage capacity. The record-low alloy density (2.83 g cm−3) is made possible by multi-principal-lightweight element alloying. Introducing multiple phases instead of a single phase facilitates obtaining a large hydrogen storage capacity (2.62 wt% at 50 °C under 100 bar of H2). The kinetic modeling results indicate that three-dimensional diffusion governs the hydrogenation reaction of the current compositionally complex alloys at 50 °C. The here proposed approach broadens the horizon for designing lightweight compositionally complex alloys for hydrogen storage purposes. © 2023 Elsevier Ltd","However, compositionally complex alloys are facing one main challenge: reducing alloy density and increasing hydrogen storage capacity. Here, we report TiMgLi-based compositionally complex alloys with ultralow alloy density and significant room-temperature hydrogen storage capacity.",_
!032,"Solid-state hydrogen storage is a promising roadmap for the safe and efficient utilization of hydrogen energy due to its moderate operating environment and high hydrogen storage density. However, as a representative solid-state hydrogen storage material, magnesium hydride (MgH2) is significantly limited in the commercial application due to its sluggish kinetics in the dehydrogenation process. Single-atom catalysts are a promising solution to this dilemma. However, the promising graphene-based single-atom catalysts are not yet sufficient to meet the dehydrogenation needs in engineering. To further address this dilemma, we designed a novel γ-graphyne based single-atom catalysts including eight 3d transition metals for promoting the dehydrogenation process of MgH2. Through using spin-polarized density functional theory calculations, we found that the energy barrier for MgH2 dehydrogenation has been significantly reduced even to 0.70 eV, which is far lower than the current graphene-based single-atom catalyst. In detail, the migration trajectory of hydrogen atom in the dehydrogenation process has been observed and confirmed using the ab initio molecular dynamics simulations. To investigate the intrinsic origin for its high catalytic activity of single-atom catalyst, we analyze the H[sbnd]Mg bond activation mechanism through the electron localization function, charge density difference and crystal orbital Hamiltonian population. Finally, we found the relationship between energy barrier with electronic structure of single-atom catalyst, such as electrostatic potential and system electronegativity. This work can not only provide new ideas for the optimize of dehydrogenation catalyst, but also lay a theoretical foundation for the design of novel energy storage material. © 2023 Elsevier Ltd","To further address this dilemma, we designed a novel γ-graphyne based single-atom catalysts including eight 3d transition metals for promoting the dehydrogenation process of MgH2. Finally, we found the relationship between energy barrier with electronic structure of single-atom catalyst, such as electrostatic potential and system electronegativity.",_
!033,"Researchers have focused on nanostructure materials in the last decade, which can play an essential role in storing hydrogen gas. Hydrogen is a future source of energy, having handling and storage challenges. In the new generation, solid-state materials have been used to store hydrogen gas as a metal hydride. Based on materials properties, Mg hydride is the most promising material to store hydrogen in a solid-state material. The theoretical hydrogen storage capacity of magnesium hydride is 7.6 wt% making it a more suitable material for hydrogen storage in the future. Instead of having high storage capacity, magnesium's practical application as a hydride is limited due to its low kinetics and high working temperature. Aside from the less thermo-stability of bulk MgH2, to achieve the maximum hydrogen storage capacity the decomposition required a higher temperature of about 300 °C with 1 bar pressure. As a result, it is necessary to optimize the stability of hydrogen and magnesium molecules to enhance kinetic and thermodynamic properties. The critical factors in improving hydrogenation properties are decreasing particle size (nano-scale) and adding various catalysts. © 2023 Elsevier Ltd. All rights reserved.","In the new generation, solid-state materials have been used to store hydrogen gas as a metal hydride. The critical factors in improving hydrogenation properties are decreasing particle size (nano-scale) and adding various catalysts.",_
!034,"In this study, structural, mechanical, electronic, dynamic, thermodynamic and hydrogen storage properties of MgX3H8 (X = Sc, Ti, Zr) were investigated by means of density functional theory which was not studied/reported experimentally or theoretically in the previous literature. This is the first thorough study about various properties of these materials. These materials were considered as promising potential host materials for solid state hydrogen storage. The evaluation of computed formation enthalpies of MgX3H8 (X = Sc, Ti, Zr), elastic constants, and phonon dispersion graphs revealed that MgX3H8 (X = Sc, Ti, Zr) is thermodynamically, mechanically, and dynamically stable and synthesizable. The analysis of B/G ratio, Cp and Poisson's ratio showed that MgSc3H8 is a brittle material whereas MgTi3H8 and MgZr3H8 are ductile materials. Moreover, anisotropy factor, machinability index, hardness, melting and Debye temperature of the materials were obtained and analysed in depth. The electronic band structures of MgX3H8 (X = Sc, Ti, Zr) illustrated metallic character since the bands (valence and conduction) intersect the Fermi level along the main symmetry directions. The phonon dispersion curves, and the partial state densities of the materials have positive frequencies, therefore, materials are dynamically stable in the cubic structure. The gravimetric hydrogen densities were calculated as 4.60 wt% for MgSc3H8, 4.38 wt% for MgTi3H8 and 2.56 wt% for MgZr3H8. The hydrogen desorption temperatures were computed as 239.54 K for MgSc3H8, 241.76 K for MgTi3H8 and 303.87 K for MgZr3H8. The mechanical properties of the materials suggest that they can be promising host materials for hydrogen storage. © 2024 Elsevier Ltd","In this study, structural, mechanical, electronic, dynamic, thermodynamic and hydrogen storage properties of MgX3H8 (X = Sc, Ti, Zr) were investigated by means of density functional theory which was not studied/reported experimentally or theoretically in the previous literature. This is the first thorough study about various properties of these materials.",_
!035,"Solid-state hydrogen storage materials are safe and lightweight hydrogen carriers. Among the various solid-state hydrogen carriers, hydrogen boride (HB) sheets possess a high gravimetric hydrogen capacity (8.5 wt%). However, heating at high temperatures and/or strong ultraviolet illumination is required to release hydrogen (H2) from HB sheets. In this study, the electrochemical H2 release from HB sheets using a dispersion system in an organic solvent without other proton sources is investigated. H2 molecules are released from the HB sheets under the application of a cathodic potential. The Faradaic efficiency for H2 release from HB sheets reached >90%, and the onset potential for H2 release is −0.445 V versus Ag/Ag+, which is more positive than those from other proton sources, such as water or formic acid, under the same electrochemical conditions. The total electrochemically released H2 in a long-time experiment reached ≈100% of the hydrogen capacity of HB sheets. The H2 release from HB sheets is driven by a small bias; thus, they can be applied as safe and lightweight hydrogen carriers with economical hydrogen release properties. © 2024 The Authors. Small published by Wiley-VCH GmbH.","However, heating at high temperatures and/or strong ultraviolet illumination is required to release hydrogen (H2) from HB sheets. The H2 release from HB sheets is driven by a small bias; thus, they can be applied as safe and lightweight hydrogen carriers with economical hydrogen release properties.",_
!036,"Lithium is a popular lightweight material in the field of energy storage because of its hydrogen-binding properties and electrochemical advantages. The high hydrogen uptake capacity (∼12.6 wt%) of lithium hydride (LiH) is limited by the major thermodynamic constraint of requiring a higher temperature (∼700 °C) for desorption at 0.1 MPa. Incorporating a third element that creates Li phases during LiH dehydrogenation can help overcome thermodynamic constraints. This study involves modifying the hydrogen storage properties and thermodynamic characteristics of LiH through mechanical alloying with porous silicon (PS). Pressure composition isotherms measure the reversible hydrogen storage capacity (∼3.39 wt%) of LiH-PS alloy at different temperatures. The energy of hydrogen interaction is quantified by isosteric heat of absorption, which provides the enthalpy change in the reaction system. Hydrogen absorption and desorption enthalpies of 94.5 kJ (mol H2)−1 and 114.9 kJ (mol H2)−1 demonstrate the lowest energy demand among previously reported LiH alloys. The energy of hydrogen interaction is quantified by isosteric heat of absorption, which provides the enthalpy change in the reaction system. The hydride decomposition of the alloy indicates the possible range of hydrogen desorption. © 2023 Hydrogen Energy Publications LLC",This study involves modifying the hydrogen storage properties and thermodynamic characteristics of LiH through mechanical alloying with porous silicon (PS). Pressure composition isotherms measure the reversible hydrogen storage capacity (∼3.39 wt%) of LiH-PS alloy at different temperatures.,_
!037,"This investigation explores the solid-state hydrogen storage properties of two series of hydrogen storage alloys: (Ti0.85Zr0.15)xMn0.8CrFe0.2 (x = 1.00∼1.10) and (Ti0.85Zr0.15)1.02MnyCr1.8-yFe0.2 (y = 1.00∼0.40) alloys. These alloys exhibit a single C14-Laves phase structure and demonstrate promising capabilities for solid-state hydrogen storage. The (Ti0.85Zr0.15)xMn0.8CrFe0.2 (x = 1.00∼1.10) alloys display an increased hydrogen absorption capacity and a reduced plateau pressure at higher super-stoichiometric ratios of x. When x = 1.10, the alloy achieves a maximum capacity of 1.86 wt%. The hydrogen storage capacity of the (Ti0.85Zr0.15)1.02MnyCr1.8-yFe0.2 (y = 1.00∼0.40) alloys diminishes as the value of y decreases. Furthermore, the hydrogen absorption plateau pressure and hysteresis factor of the alloys increase with an escalating Mn/Cr ratio. The analysis of cyclic stability reveals that the primary factor contributing to poor cycling stability of the (Ti0.85Zr0.15)1.02Mn0.4Cr1.4Fe0.2 alloy is the compositional decomposition, rather than pulverization or alterations in the phase structure. In summary, this investigation enhances our understanding of the solid-state hydrogen storage properties of these alloys. It establishes a foundation for further research and development in this pivotal field of hydrogen storage. © 2023 Hydrogen Energy Publications LLC",These alloys exhibit a single C14-Laves phase structure and demonstrate promising capabilities for solid-state hydrogen storage. It establishes a foundation for further research and development in this pivotal field of hydrogen storage.,_
!038,"Hydrogen storage and transportation technology is the key part that affects the large-scale and commercial application of hydrogen energy, and it is also an important factor that influences the future development pattern of the world clean energy industry. Compared with several current hydrogen storage and transportation technologies, solid-state hydrogen storage technology plays an important role in the field of hydrogen storage and transportation with its high quality density and high safety. Starting from the principles of hydrogen storage based on chemical adsorption mechanism, the research progress and status quo of different solid-state hydrogen storage materials are introduced. From the perspective of raw materials, technology maturity, research projects and the number of patents, the development prospect of solid-state hydrogen storage technology in the future is analyzed. © 2023 Editorial Office of P.R.E.. All rights reserved.","Compared with several current hydrogen storage and transportation technologies, solid-state hydrogen storage technology plays an important role in the field of hydrogen storage and transportation with its high quality density and high safety. Starting from the principles of hydrogen storage based on chemical adsorption mechanism, the research progress and status quo of different solid-state hydrogen storage materials are introduced.",_
!039,"Solid-state hydrogen storage is gradually becoming an effective way for the large-scale storage and transportation of hydrogen energy. Magnesium hydride (MgH2) has become a promising candidate among solid-state hydrogen storage materials due to its high hydrogen storage density, low cost and good safety. However, ambiguous H-Mg bond weakening mechanism of various catalysts on MgH2 hinders the development of novel catalysts for MgH2 dehydrogenation. To overcome this problem, we applied the model catalyst, single-atom catalyst with accurately characterizable coordination structure, to understand the interaction between catalyst and MgH2 surface through spin-polarized density-functional theory calculation. We constructed heterogeneous interface structures between single-atom catalysts and MgH2 surface including nine kinds of transition metal atoms. The interaction between single-atom catalysts and MgH2 surface has been well explored through bond length, electron localization function, charge density difference and crystal orbital Hamiltonian population, providing the intrinsic information of H-Mg bond weakening mechanism over single-atom catalysts. This work can establish the foundational guide for the design of novel dehydrogenation catalysts. © 2024, The Author(s).","We constructed heterogeneous interface structures between single-atom catalysts and MgH2 surface including nine kinds of transition metal atoms. The interaction between single-atom catalysts and MgH2 surface has been well explored through bond length, electron localization function, charge density difference and crystal orbital Hamiltonian population, providing the intrinsic information of H-Mg bond weakening mechanism over single-atom catalysts.",_
!040,"In the process of building a new power system with new energy sources as the mainstay, wind power and photovoltaic energy enter the multiplication stage with randomness and uncertainty, and the foundation and support role of large-scale long-time energy storage is highlighted. Considering the advantages of hydrogen energy storage in large-scale, cross-seasonal and cross-regional aspects, the necessity, feasibility and economy of hydrogen energy participation in long-time energy storage under the new power system are discussed. Firstly, power supply and demand production simulations were carried out based on the characteristics of new energy generation in China. When the penetration of new energy sources in the new power system reaches 45%, long-term energy storage becomes an essential regulation tool. Secondly, by comparing the storage duration, storage scale and application scenarios of various energy storage technologies, it was determined that hydrogen storage is the most preferable choice to participate in large-scale and long-term energy storage. Three long-time hydrogen storage methods are screened out from numerous hydrogen storage technologies, including salt-cavern hydrogen storage, natural gas blending and solid-state hydrogen storage. Finally, by analyzing the development status and economy of the above three types of hydrogen storage technologies, and based on the geographical characteristics and resource endowment of China, it is pointed out that China will form a hydrogen storage system of “solid state hydrogen storage above ground and salt cavern storage underground” in the future. © 2023 by the authors.","Firstly, power supply and demand production simulations were carried out based on the characteristics of new energy generation in China. Finally, by analyzing the development status and economy of the above three types of hydrogen storage technologies, and based on the geographical characteristics and resource endowment of China, it is pointed out that China will form a hydrogen storage system of “solid state hydrogen storage above ground and salt cavern storage underground” in the future.",_
!041,"Recently, high entropy alloys (HEAs) with body-centred cubic (BCC) single phase structures have attracted wide attention in many fields including hydrogen storage, due to their unique structural characteristics and excellent performance. Its novel design concept provides more possibilities for the investigation of advanced hydrogen storage materials, in which several remarkable research works have been published, providing opportunities for the design of hydrogen storage materials with unprecedented properties. In this review, we combed through the definition and criteria of high entropy alloys, and summarized the current research status of body-centred cubic-structured high entropy alloys for hydrogen storage from multiple perspectives of composition designs, synthesis processes, and hydrogen storage properties. Moreover, the possible application scenarios and future research directions are analysed. Copyright © 2023 Kong, Cheng, Wan and Xue.","Recently, high entropy alloys (HEAs) with body-centred cubic (BCC) single phase structures have attracted wide attention in many fields including hydrogen storage, due to their unique structural characteristics and excellent performance. Its novel design concept provides more possibilities for the investigation of advanced hydrogen storage materials, in which several remarkable research works have been published, providing opportunities for the design of hydrogen storage materials with unprecedented properties.",_
!042,"Sodium amide (NaNH2) in its α form is a common compound that has recently seen renewed interest, mainly for its potential use as a solid-state hydrogen storage material. In this work, we present a synergic theoretical and experimental characterization of the compound, including novel measured and simulated vibrational spectra (IR and Raman) and X-ray diffraction patterns. We put forward the hypothesis of a low-temperature symmetry breaking of the structure to space group C2/c, while space group Fddd is commonly reported in the literature and experimentally found down to 80 K. Additionally, we report a theoretical estimate of the heat of formation of sodium amide from ammonia to be equal to −12.2 kcal/mol at ambient conditions. © 2023 The Authors. Published by American Chemical Society","Sodium amide (NaNH2) in its α form is a common compound that has recently seen renewed interest, mainly for its potential use as a solid-state hydrogen storage material. We put forward the hypothesis of a low-temperature symmetry breaking of the structure to space group C2/c, while space group Fddd is commonly reported in the literature and experimentally found down to 80 K. Additionally, we report a theoretical estimate of the heat of formation of sodium amide from ammonia to be equal to −12.2 kcal/mol at ambient conditions.",_
!043,"Hydrogen energy has attracted a lot of interest as a renewable and sustainable energy source, but there are a few technical impediments associated with its storage. Solid-state hydrogen storage is a catching-on and intensively researched alternative to other methods for storing hydrogen. Perovskite hydrides exhibit the ability to store solid-state hydrogen safely and effectively. This work employs the first-principles calculations to investigate the physical properties of LiCaF3˗αHα (α = 0,1,2,3) perovskite compounds, aiming to elucidate insights into their potential in hydrogen storage applications. To assess the phase stability, we computed the formation enthalpies, which indicate that all compounds are stable and can be synthesized experimentally. Notably, the optimized lattice parameter decreased from 4.42 to 4.32 Å when an impurity was added to pristine material. Additionally, the evaluation of the elastic stiffness constants manifests that all LiCaF3-αHα compounds are mechanically stable and brittle in nature. Investigations of electronic properties demonstrate the narrowing in the bandgap of the host compound with the inclusion of H. To gain insight into how the absorption edge shifts towards the valence band and causes the band gap to diminish, the Burstein-Moss shift and band gap renormalization were investigated. Interestingly, the gravimetric and volumetric hydrogen storage capacities have been improved up to 6.04 wt% and 61.77 gH2l−1, respectively, which are fulfilling the target set by DOE for 2025. In short, this work suggests the applicability of LiCaH3 hydrides for effective hydrogen storage. © 2024 Elsevier Ltd","Perovskite hydrides exhibit the ability to store solid-state hydrogen safely and effectively. In short, this work suggests the applicability of LiCaH3 hydrides for effective hydrogen storage.",_
!044,"The high hydrogen storage capacity (10.5 wt.%) and release of hydrogen at a moderate temperature make LiAlH4 an appealing material for hydrogen storage. However, LiAlH4 suffers from slow kinetics and irreversibility. Hence, LaCoO3 was selected as an additive to defeat the slow kinetics problems of LiAlH4. For the irreversibility part, it still required high pressure to absorb hydrogen. Thus, this study focused on the reduction of the onset desorption temperature and the quickening of the desorption kinetics of LiAlH4. Here, we report the different weight percentages of LaCoO3 mixed with LiAlH4 using the ball-milling method. Interestingly, the addition of 10 wt.% of LaCoO3 resulted in a decrease in the desorption temperature to 70 °C for the first stage and 156 °C for the second stage. In addition, at 90 °C, LiAlH4 + 10 wt.% LaCoO3 can desorb 3.37 wt.% of H2 in 80 min, which is 10 times faster than the unsubstituted samples. The activation energies values for this composite are greatly reduced to 71 kJ/mol for the first stages and 95 kJ/mol for the second stages compared to milled LiAlH4 (107 kJ/mol and 120 kJ/mol for the first two stages, respectively). The enhancement of hydrogen desorption kinetics of LiAlH4 is attributed to the in situ formation of AlCo and La or La-containing species in the presence of LaCoO3, which resulted in a reduction of the onset desorption temperature and activation energies of LiAlH4. © 2023 by the authors.","Hence, LaCoO3 was selected as an additive to defeat the slow kinetics problems of LiAlH4. For the irreversibility part, it still required high pressure to absorb hydrogen.",_
!045,"Lithium aluminum hydride (LiAlH4) with a high hydrogen capacity of 10.5 wt% has become one of the most promising solid-state hydrogen storage materials for onboard hydrogen fuel cell systems. However, neither dehydrogenation kinetics nor cycling behaviors of LiAlH4 can fulfill the requirements of practical application. Here, we prepared the Ni/C nanoparticles anchored on large-size Ti3C2Tx nanosheets, firstly introduced into LiAlH4 to investigate its catalytic effect. Dehydrogenation experiments demonstrate that LiAlH4 doped with 7 wt% Ni/C@Ti3C2 starts to release hydrogen at 56.9 °C. Also, it can release about 4.3 wt% hydrogen within 50 min at 120 °C. The activation energies of LiAlH4 doped with 7 wt% Ni/C@Ti3C2 for the first and second steps are 34.5% and 53.2% lower than the as-received LiAlH4, respectively. Under 300 °C and 40 bar hydrogen, it can absorb 0.58 wt% hydrogen. It is found that in situ formed intermetallic Al2Ti during ball milling can weaken the Al-H bonds in LiAlH4 through interfacial charge transfer and the dehybridization, benefitting for the breaking of the Al-H bond in LiAlH4. In addition, Al2Ti can promote the adsorption and splitting of H2, contributing to the rehydrogenation of LiAlH4. © 2022 Elsevier B.V.","Here, we prepared the Ni/C nanoparticles anchored on large-size Ti3C2Tx nanosheets, firstly introduced into LiAlH4 to investigate its catalytic effect. Dehydrogenation experiments demonstrate that LiAlH4 doped with 7 wt% Ni/C@Ti3C2 starts to release hydrogen at 56.9 °C.",_
!046,"Solid-state storage of hydrogen molecules in carbon-based light metal single-atom materials is promising to achieve both high hydrogen storage capacity and uptake rate, but there is a lack of fundamental understanding and design principles to guide the rational design of the materials. Here, a theoretical relationship is established between the hydrogen capacity/rate and the structures of the heteroatom-doped-graphene-supported light metal Li single atom materials for high-efficient solid-state hydrogen storage, which is verified by combining spectroscopic characterization, H2 adsorption/desorption measurements, and density functional theory (DFT) calculations. Based on the DFT calculations, a novel descriptor Φ is developed to correlate the inherent properties of dopants with the hydrogen storage properties, and further to screen out the best dual-doped-graphene-supported light metal Li single-atom hydrogen storage materials. The dual-doped materials have a much higher hydrogen storage capability than the sole-doped ones and exceed the best carbon-based hydrogen storage materials so far. © 2024 The Authors. Advanced Functional Materials published by Wiley-VCH GmbH.","Solid-state storage of hydrogen molecules in carbon-based light metal single-atom materials is promising to achieve both high hydrogen storage capacity and uptake rate, but there is a lack of fundamental understanding and design principles to guide the rational design of the materials. Here, a theoretical relationship is established between the hydrogen capacity/rate and the structures of the heteroatom-doped-graphene-supported light metal Li single atom materials for high-efficient solid-state hydrogen storage, which is verified by combining spectroscopic characterization, H2 adsorption/desorption measurements, and density functional theory (DFT) calculations.",_
!047,"We present a machine learning (ML) framework HEART (HydrogEn storAge propeRty predicTor) for identifying suitable families of metal alloys for hydrogen storage under ambient conditions. Our framework includes two ML models that predict the hydrogen storage capacity (HYST) and the enthalpy of hydride formation (THOR) of multi-component metal alloys. We demonstrate that a chemically diverse set of features effectively describes the hydrogen storage properties of the alloys. In HYST, we use absorption temperature as a feature which improved H2wt% prediction significantly. For out-of-the-bag samples, HYST predicted H2wt% with R2 score of 0.81 and mean absolute error (MAE) of 0.45 wt% whereas R2 score is 0.89 and MAE is 4.53 kJ/molH2 for THOR. These models are further employed to predict H2wt% and ΔH for ∼ 6.4 million multi-component metal alloys. We have identified 6480 compositions with superior storage properties (H2wt% > 2.5 at room temperature and ΔH < 60 kJ/molH2). We have also discussed in detail the interesting trends picked up by these models like temperature dependent variation in the rate of hydrogenation and alloying effect on H2wt% and ΔH in different families of alloys. Importantly certain elements like Al, Si, Sc, Cr, and Mn when mixed in small fractions with hydriding elements like Mg, Ti, V etc. systematically reduce ΔH without significantly compromising the storage capacity. Further upon increasing the number of elements in the alloy i.e from binary to ternary to quaternary, the number of compositions with lower enthalpies also increases. From the 6.4 million compositions, we have reported new alloy families having potential for hydrogen storage at room temperature. Finally, we demonstrate that HEART has the potential to scan vast chemical spaces by narrowing down potential materials for hydrogen storage. © 2023 Hydrogen Energy Publications LLC","These models are further employed to predict H2wt% and ΔH for ∼ 6.4 million multi-component metal alloys. From the 6.4 million compositions, we have reported new alloy families having potential for hydrogen storage at room temperature.",_
!048,"Magnesium hydride (MgH2) is the most prominent carrier for storing hydrogen in solid-state mode. However, their slow kinetics and high thermodynamics become an obstacle in hydrogen storage. The present study elaborates on the catalytic effect of graphene (Gr) and vanadium disulfide (VS2) on MgH2 to enhance its hydrogen sorption kinetic. The temperature-programmed desorption study shows that the onset desorption temperature of MgH2 catalyzed by VS2 and MgH2 catalyzed by Gr is 289 °C and 300 °C, respectively. These desorption temperatures are 87 °C and 76 °C lower than the desorption temperature of pristine MgH2. The rapid rehydrogenation kinetics for the MgH2 catalyzed by VS2 have been found at a temperature of 300 °C under 15 atm H2 pressure by absorbing ∼4.04 wt% of hydrogen within 1 min, whereas the MgH2 catalyzed by Gr takes ∼3 min for absorbing the same amount of hydrogen under the similar temperature and pressure conditions. The faster release of hydrogen was also observed in MgH2 catalyzed by VS2 than MgH2 catalyzed by Gr and pristine MgH2. MgH2 catalyzed by VS2 releases ∼2.54 wt% of hydrogen within 10 min, while MgH2 catalyzed by Gr takes ∼30 min to release the same amount of hydrogen. Furthermore, MgH2 catalyzed by VS2 also persists in the excellent cyclic stability and reversibility up to 25 cycles. © 2022 Hydrogen Energy Publications LLC","Magnesium hydride (MgH2) is the most prominent carrier for storing hydrogen in solid-state mode. Furthermore, MgH2 catalyzed by VS2 also persists in the excellent cyclic stability and reversibility up to 25 cycles.",_
!049,"The solid-state hydrogen storage in metal hydride (MH) is safer and energy efficient than the gaseous and liquid storage methods. The absorption of hydrogen in MH is highly exothermic. Hence, a good heat management system is required to increase the charging rate. The phase change material (PCM) can be integrated into the reactor to reuse the absorption heat for hydrogen desorption. The present numerical study models the concentric cylindrical reactor with magnesium (Mg) as MH surrounded by sodium nitrate (NaNO3) as PCM using COMSOL Multiphysics v6.1. The effect of buoyancy inside the PCM domain is investigated. An iterative approach is used to determine the required amount of PCM. Copper fins are added inside both MH and PCM. The effect of the number of fins, corresponding fin thickness and pitch on hydrogen absorption are determined to optimize the MH reactor. The outcomes reveal that the hydrogen absorption rate increases with fin numbers. The reactor with 10 and 30 fins takes 86.5 and 97.3 % less time than without fins for 90 % hydrogen absorption, respectively. The novel approach is proposed to estimate the fin efficiency (ηf) using temperature profiles of MH and fin during prevailing unsteady heat and mass transfer. The fin factor (Ff) is presented using the ηf and mass of MH. The performance evaluation criterion (PEC) is discussed based on hydrogen absorption relative to the system's weight. Further, the effect of operating parameters like hydrogen supply pressure and the initial temperature is studied on the reactor performance. © 2023 Elsevier Ltd","Hence, a good heat management system is required to increase the charging rate. An iterative approach is used to determine the required amount of PCM.",_
!050,"Complex aluminum hydrides with high hydrogen capacity are among the most promising solid-state hydrogen storage materials. The present study determines the thermal stability, hydrogen dissociation energy, and electronic structures of alkali metal aluminum hydrides, MAlH4 (M = Li, Na, K, and Cs), using first-principles density functional theory calculations in an attempt to gain insight into the dehydrogenation mechanism of these hydrides. The results show that the hydrogen dissociation energy (Ed-H2) of MAlH4 (M = Li, Na, K, and Cs) correlates with the Pauling electronegativity of cation M (χP); that is, the Ed-H2 (average value) decreases, i.e., 1.211 eV (LiAlH4) < 1.281 eV (NaAlH4) < 1.291 eV (KAlH4) < 1.361 eV (CsAlH4), with the increasing χP value, i.e., 0.98 (Li) > 0.93 (Na) > 0.82 (K) > 0.79 (Cs). The main reason for this finding is that alkali alanate MAlH4 at higher cation electronegativity is thermally less stable and held by weaker Al-H covalent and H-H ionic interactions. Our work contributes to the design of alkali metal aluminum hydrides with a favorable dehydrogenation, which is useful for on-board hydrogen storage. © 2023 by the authors.","The main reason for this finding is that alkali alanate MAlH4 at higher cation electronegativity is thermally less stable and held by weaker Al-H covalent and H-H ionic interactions. Our work contributes to the design of alkali metal aluminum hydrides with a favorable dehydrogenation, which is useful for on-board hydrogen storage.",_
!051,"One of the ideal energy carriers for the future is hydrogen. It has a high energy density and is a source of clean energy. A crucial step in the development of the hydrogen economy is the safety and affordable storage of a large amount of hydrogen. Thus, owing to its large storage capacity, good reversibility, and low cost, Magnesium hydride (MgH2) was taken into consideration. Unfortunately, MgH2 has a high desorption temperature and slow ab/desorption kinetics. Using the ball milling technique, adding cobalt lanthanum oxide (LaCoO3) to MgH2 improves its hydrogen storage performance. The results show that adding 10 wt.% LaCoO3 relatively lowers the starting hydrogen release, compared with pure MgH2 and milled MgH2. On the other hand, faster ab/desorption after the introduction of 10 wt.% LaCoO3 could be observed when compared with milled MgH2 under the same circumstances. Besides this, the apparent activation energy for MgH2–10 wt.% LaCoO3 was greatly reduced when compared with that of milled MgH2. From the X-ray diffraction analysis, it could be shown that in-situ forms of MgO, CoO, and La2O3, produced from the reactions between MgH2 and LaCoO3, play a vital role in enhancing the properties of hydrogen storage of MgH2. © 2023 by the authors.","Thus, owing to its large storage capacity, good reversibility, and low cost, Magnesium hydride (MgH2) was taken into consideration. Besides this, the apparent activation energy for MgH2–10 wt.% LaCoO3 was greatly reduced when compared with that of milled MgH2.",_
!052,"Magnesium hydride (MgH2) attracts wide interests as a promising hydrogen energy carrier, but its commercial application is hampered by the high operating temperatures and slow dehydrogenation kinetics. Herein, CrMnFeCoNi and CrFeCoNi high-entropy alloys (HEAs) were adopted to boost the hydrogen storage performance of MgH2. It was demonstrated that the morphology of catalysts and addition of Mn had a great impact on the performance of HEAs catalysts. In particular, the Mn containing HEAs nanosheets presented the best performance. The MgH2-CrMnFeCoNi composite could release 6.5 wt% H2 in 10 min at 300 °C and started to absorb H2 at 40 °C. Moreover, kinetic analysis revealed that the rate control model in dehydrogenation process of HEA-4 modified MgH2 changed from permeation model of MgH2 to diffusion. In addition, 97% hydrogen storage volume could be maintained after 20 cycles at 300 °C, showing a good cycling performance. Microstructure analysis showed that the CrMnFeCoNi nanosheets were uniform dispersed over the surface of MgH2, bringing numerous heterogeneous activation sites to speed up the dispersal of hydrogen. Besides, the cocktail effect of HEAs exerted synergic action between Cr, Mn, Fe, Co and Ni elements to improve the overall catalytic efficiency. Therefore, the de/rehydrogeantion performance of the MgH2-CrMnFeCoNi composite was surprisingly accelerated. © 2023 Elsevier B.V.","Magnesium hydride (MgH2) attracts wide interests as a promising hydrogen energy carrier, but its commercial application is hampered by the high operating temperatures and slow dehydrogenation kinetics. In addition, 97% hydrogen storage volume could be maintained after 20 cycles at 300 °C, showing a good cycling performance.",_
!053,"Currently, magnesium hydride (MgH2) as a solid-state hydrogen storage material has become the subject of major research owing to its good reversibility, large hydrogen storage capacity (7.6 wt%) and affordability. However, MgH2 has a high decomposition temperature (>400 °C) and slow desorption and absorption kinetics. In this work, BaMnO3 was synthesized using the solid-state method and was used as an additive to overcome the drawbacks of MgH2. Interestingly, after adding 10 wt% of BaMnO3, the initial desorption temperature of MgH2 decreased to 282 °C, which was 138 °C lower than that of pure MgH2 and 61 °C lower than that of milled MgH2. For absorption kinetics, at 250 °C in 2 min, 10 wt% of BaMnO3-doped MgH2 absorbed 5.22 wt% of H2 compared to milled MgH2 (3.48 wt%). Conversely, the desorption kinetics also demonstrated that 10 wt% of BaMnO3-doped MgH2 samples desorbed 5.36 wt% of H2 at 300 °C within 1 h whereas milled MgH2 only released less than 0.32 wt% of H2. The activation energy was lowered by 45 kJ/mol compared to that of MgH2 after the addition of 10 wt% of BaMnO3. Further analyzed by using XRD revealed that the formation of Mg0·9Mn0·1O, Mn3O4 and Ba or Ba-containing enhanced the performance of MgH2. © 2023 Hydrogen Energy Publications LLC","Currently, magnesium hydride (MgH2) as a solid-state hydrogen storage material has become the subject of major research owing to its good reversibility, large hydrogen storage capacity (7.6 wt%) and affordability. In this work, BaMnO3 was synthesized using the solid-state method and was used as an additive to overcome the drawbacks of MgH2.",_
